year,latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,magNst,depth_class
2021,-3.558,129.5238,7.0,5.9,15,2.793,0.58,5.7,1.7,0.062,25,0
2021,-3.0604,136.8876,31.0,5.9,14,3.85,0.79,6.3,1.8,0.075,17,0
2023,-8.6478,110.0229,76.421,5.9,41,1.641,0.84,5.48,3.285,0.061,26,1
2023,-6.02,130.2186,10.0,5.9,44,5.222,0.8,7.08,0.847,0.071,19,0
2021,-6.8798,130.4969,94.0,5.9,29,4.304,0.82,6.8,1.9,0.068,21,1
2022,-10.7234,113.386,17.0,5.9,45,2.363,0.4,6.42,1.833,0.056,31,0
2020,1.6686,126.5621,30.0,5.9,20,1.2,0.89,5.4,1.7,0.073,18,0
2022,1.9361,126.8713,36.0,5.9,28,1.258,0.92,6.4,1.9,0.063,24,0
2023,2.7652,127.0501,21.0,5.9,41,2.005,0.52,7.44,1.843,0.059,28,0
2023,4.7109,127.5053,94.0,5.9,36,3.027,0.76,6.03,1.864,0.04,60,1
2023,3.5892,126.6923,25.0,5.9,36,2.879,0.88,6.76,1.86,0.052,35,0
2022,2.1277,98.9004,18.363,5.9,32,0.563,0.8,4.59,1.394,0.052,35,0
2023,1.9998,124.1476,289.0,5.8,21,3.32,0.71,6.77,1.842,0.056,31,1
2023,2.8182,126.944,35.0,5.8,31,2.076,0.61,6.53,1.76,0.058,29,0
2021,1.358,121.9096,25.0,5.8,37,1.154,1.0,3.5,1.8,0.059,28,0
2024,4.3762,126.4544,39.0,5.8,23,2.814,0.61,5.77,1.702,0.052,35,0
2021,-3.2114,100.1976,20.0,5.8,41,2.979,0.81,3.5,1.8,0.086,13,0
2024,-1.1774,127.4529,16.0,5.8,26,1.938,0.75,6.08,1.748,0.055,32,0
2023,-0.7618,98.5942,21.0,5.8,29,2.291,0.81,7.24,1.793,0.054,33,0
2021,-0.6732,121.9049,9.75,5.8,16,0.94,1.41,4.3,2.8,0.069,20,0
2020,0.7136,126.3292,27.01,5.8,25,1.039,0.88,6.1,3.1,0.052,36,0
2022,-2.7693,118.5386,23.58,5.8,25,2.321,0.85,5.9,3.1,0.063,24,0
2022,-5.2399,102.0088,23.0,5.8,31,1.286,0.85,7.4,1.8,0.06,27,0
2022,-6.7109,107.1456,107.0,5.8,17,3.289,0.79,7.64,1.888,0.052,35,1
2021,-7.605,122.2449,10.0,5.8,67,1.024,0.7,4.2,1.8,0.094,41,0
2024,-7.1565,129.4461,78.0,5.8,17,2.656,0.81,8.75,1.871,0.073,18,1
2023,-7.0623,129.7277,147.0,5.8,28,2.529,0.67,6.88,1.938,0.042,55,1
2021,-8.4206,112.332,106.0,5.8,23,1.801,0.65,3.6,1.9,0.062,25,1
